﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},过量{0}
ACTION_HAPPENING,I can't do two things at once...,我不能同时做两件事……
ADD_TO_BLUEPRINT,Add {0} to {1},将{0}放入{1}
A_FEW,a few {0},有点 {0}
BY_AUTHOR,By {0},{0}
AVAILABLE,Available,已拥有
LESS_THAN_SUBTLE_FLAVOUR,Barely {0},淡淡{0}
BLUEPRINT,Blueprint,蓝图
BLUEPRINT_FULL,{1} already has enough of {0},{1}所需的{0}已经足够
BLUEPRINT_RESEARCH_TAB,Research,研究
BLUEPRINT_SHOP,Shop,商店
BLUEPRINT_UNLOCKED,New Blueprint Unlocked!,已解锁新蓝图！
BOOKMARK_NOT_FOUND,There is no {0} here,这里没有{0}
BOOKMARK_TITLE_WITH_LIQUID,{0} ({1}),{0}（{1}）
BOTH_HANDS,Both Hands,双手
BUILD,Build,制作
BUILT,Built,已建造
BUY_TO_CONTINUE,Congratulations on surviving for {0} days!,恭喜你生存了{0}天！
CANCEL,Cancel,取消
CANNOT_AFFORD,Not enough {0} to buy this...,没有足够的{0}来买这个……
CANNOT_BE_TAKEN_OUT,{0} can't be taken out of {1},无法从{1}中取出{0}
CANNOT_EQUIP_MORE,Cannot equip more than {0} {1},不能装备超过{0}件{1}
CANNOT_EQUIP_PINS,Pins cannot be equipped!,不能装备已置顶物品！
CANNOT_INSPECT,Take item out of container to inspect.,从容器中取出物品以查看更多信息。
CANNOT_MAKE_BLUEPRINT,{0} cannot be made here...,不能在这里建造{0}……
CANNOT_TAKE_MORE,Cannot take more {0} from {1},无法从{1}取走更多{0}了
CHARACTER,Character,角色
CHARACTER_CREATOR,Create New Character,新建角色
CLEAR_CARD_FILTERS,Clear Filters,重置过滤器
COMPLETED_QUESTS,Completed,完成
CONFIRM,Confirm,确认
CONFIRM_RESEARCH_SWITCH,Currently researching {0}.\nSwitch research to {1}?\n(You will keep research progress on {0}),当前正在研究 {0} 。\n是否切换为 {1} ？\n（{0}的研究进度将会保留）
COOKING_READY,Done,完成
COOKING_TIME_TEXT,Ready in {0},{0}后完成
CURRENT_STATUS,Current Status,当前状态
CUSTOM_CHARACTERS,Custom Characters,自定义角色
CUSTOM_PORTRAIT_COUNT,Default portrait resolution is 344x446\n{0}/{1} portraits saved,头像的默认分辨率为 344×446\n已保存 {0}/{1} 张头像
DAMAGES,Damages,破损
A_DAY,a day,一天
DAY_COUNTER,Day {0},第{0}天
FORMAT_DAYS,0D,0天
DAYS,days,天数
DAYS_SURVIVED,You survived for {0} days.,你生存了{0}天。
DEFAULT,Default,默认
DEFAULT_CHARACTER,Default Character,默认角色
COOKING_SLOT,DRAG ITEMS HERE TO COOK,<i>将物品拖至此处</i>
EMPTY_RECIPE_SLOT,COME BACK LATER,<i>晚点再来看看</i>
ENCOUNTER_ENEMY_GETTING_CLOSE,{0} is approaching you.,{0} 在接近你。
DEFAULT_ENCOUNTER_ENEMY_NAME,Enemy,敌方
